19626,9267,25188,12544
14694,1533,19884,12408
479,509,10367,546
10942,2854,13241,9756
1179,1307,10094,1243
22128,11089,25384,20535
14496,11146,18996,6766
13181,9602,15331,952
22360,8155,24090,17921
16130,9080,19422,14828
11350,4455,17260,4409
2155,2015,9653,2216
22005,7963,22009,15010
9134,7119,10131,7063
5036,5173,5202,7773
10325,9573,11722,7171
4460,4358,10034,4297
21561,18504,22805,14104
3939,4143,3910,3985
17895,12373,20342,16362
14345,6736,15295,11487
11725,11226,20076,7172
22656,20139,24893,15055
9477,8922,12915,6832
18356,11764,22696,15602
12428,2933,21172,9203
5151,5042,8964,5120
4457,4520,20464,4341
1784,1600,9681,1760
21121,9180,24290,12382
8621,2119,8851,2323
12624,7430,18386,11628
13167,9691,14118,3109
18425,10415,20894,12200
4740,4829,11069,4630
5704,5793,5749,5677
13009,3785,13010,9541
20961,7591,24211,12254
12260,6615,15832,6493
7264,7304,12060,7238
2152,2245,13715,2147
11725,7172,20076,7082
6310,6329,10181,6425
10680,3803,13718,3900
3525,3466,10489,3332
11152,286,11379,333
4283,4353,13717,4129
12778,3706,16914,9396
19517,488,14333,558
5542,5567,10533,5432
10914,10913,14634,8526
22890,13887,22891,18659
14980,8260,14981,11085
16030,12110,17560,8538
18265,15199,18509,11546
10986,346,12653,311
6267,6107,12746,6171
14251,13265,17453,8807
13052,140,14129,9566
17675,13228,21284,9748
12858,6728,16066,10676
21531,8249,23160,14603
24954,14199,25225,18624
10406,663,18407,684
23652,15225,23653,19912
10960,4172,13613,4193
20579,13943,24009,18007
13517,7898,21207,12444
2528,2806,2727,2802
7411,7439,14203,7403
2014,2013,9709,1871
22902,14214,24160,22451
18898,8519,19131,13001
17836,5954,21589,16870
15886,10490,20659,3520
18451,12947,19512,8886
10756,6263,18942,8494
11362,987,12130,979
19282,10988,25123,13451
12298,4646,13788,4823
9060,5069,12121,5003
659,731,12223,681
21802,14868,24811,8879
5185,5349,14354,5240
20980,2051,21812,11340
13573,10954,20543,5852
12769,8571,14752,11019
1151,1268,1146,1188
18603,8253,22873,13877
9452,6779,12859,6802
13941,6271,24255,12324
1635,1497,9740,1586
1363,1456,12768,1403
15416,8286,22345,10329
19643,15003,23523,9722
23623,12362,24443,19861
12437,1315,13165,1439
21195,13710,21196,16443
13143,8494,18942,6150
13329,11947,15836,9502
9670,80,13148,9014
13652,8158,20898,10064
18266,8792,22637,13931
3994,4105,10770,3875
20103,8199,22964,18729
11661,8312,15488,10396
4621,4819,10126,4838
14940,2594,19577,11161
18237,15380,23740,8734
6699,6514,18089,6669
21152,12417,24305,19734
20705,16927,21122,12382
22430,10455,24210,20959
22383,15079,24795,7867
3944,3907,11184,4091
14526,8921,18562,11834
24388,21338,24389,9044
4895,4910,15256,5046
7709,25695,5367,7763
18333,10355,19276,10357
17412,13235,17413,12805
13821,10210,18134,83
17727,13483,22294,11784
17470,17140,21789,13275
7182,7092,12808,7118
13213,9292,16654,12590
15974,8667,20741,15961
23999,21090,24275,12354
24706,22204,25517,16448
13452,8640,17686,11175
13705,11639,15456,10107
1851,1904,9817,1841
21410,16681,21518,10402
619,697,16382,660
923,976,9016,929
14648,10920,14649,4860
16488,9228,23172,12467
11360,9104,12229,8714
10776,1400,16412,9199
5385,5390,8979,5284
9923,4499,17409,4696
9647,9623,12540,2014
21942,15081,24597,21941
14140,3262,15141,3341
13346,8538,17557,10941
9663,2028,13161,2100
11263,8675,15030,5217
19690,11607,23088,15420
18928,14440,24632,18927
5677,5793,5823,5865
22341,10049,25530,18082
15,27,11,3
20678,12003,24066,15907
11848,8926,16649,4122
11098,5687,14042,8792
6861,6884,11316,6867
10887,8515,10888,2591
10341,2789,17418,2931
20011,18052,24836,17859
16239,7977,16984,9131
14411,10729,18887,8280
12018,11317,23039,1829
13798,11658,15482,8838
5752,5679,5662,5794
20967,8965,16207,12257
13218,8223,18345,10189
11612,9824,11613,3027
12763,14159,16898,18569
7165,7198,10750,7136
3392,3581,19285,3608
9113,1581,16196,1543
12275,5346,12276,5205
17468,15989,22495,10042
5143,5276,5115,5243
7664,25750,7739,7661
9942,2538,13498,9049
3686,3762,7753,3704
2659,2517,9686,2744
3426,3632,10681,3488
10687,4830,16626,4988
16286,9479,21732,12917
13240,9756,17418,9533
14900,9761,15721,4398
7553,7581,11912,7572
19635,13303,23521,19634
20099,11878,20100,8940
16771,12361,19376,7419
4041,3901,18879,4160
12531,9259,12532,288
23012,14346,25005,18797
14641,13218,21937,9740
1493,1450,16937,1570
20451,16744,22809,9476
2956,3152,8862,3164
18466,14079,18467,18465
23789,20160,25272,15430
8351,1770,10488,1621
130,151,11519,202
10075,4912,11739,4811
23656,17224,24573,10398
7714,7621,7715,7739
17878,17877,17881,8406
23551,11598,25198,19698
16671,12379,16673,16369
7765,7728,7717,7758
12312,12254,24210,7582
8712,753,11355,682
9403,1849,13418,2057
5881,5814,8969,5973
19965,8758,21557,16845
23664,19923,23667,15479
10593,6998,14267,10592
14755,12752,16882,11022
9752,7321,10873,7364
15438,11623,20170,11075
20947,11497,23074,18012
14763,14275,18418,7587
2462,2555,9247,2343
15808,12666,20564,7950
18034,18032,22460,10177
6576,6500,9966,6579
21708,12876,21710,15253
6914,6818,14904,6690
11987,7107,11988,7161
16387,12396,16388,9187
5345,5212,13455,5246
11252,1379,17364,1436
3629,3532,10702,3695
16058,9617,17289,8715
13581,10009,19553,4245
5373,5349,10755,5467
15730,11478,18478,8764
6741,6764,12834,6662
4153,4116,10110,4230
7451,7447,13514,7407
2002,2134,13036,2163
14345,11487,15295,8767
4315,4314,10449,4498
17304,13134,17305,9652
10011,3897,13585,9447
1825,2009,9692,2045
7716,3098,7646,3028
2873,3006,11729,2898
17117,13257,17441,12886
1827,1806,12436,1754
10690,10689,16052,8433
4440,4554,13018,4352
19053,10843,23209,14550
17532,13323,18157,10665
6467,6330,12622,6462
21255,19716,23705,15060
10013,6377,15891,6281
8718,8569,15147,1061
24530,21709,25476,8107
22616,18242,24659,22615
17623,13397,23001,2832
17401,11289,19720,13227
12847,9444,12848,9183
20951,9959,24208,16194
11684,11029,15519,6680
18206,9081,18212,13897
13029,9874,17218,2954
9599,4126,9658,3960
15742,13556,18482,9122
2200,2263,10141,2055
23705,12057,24091,11288
13862,8246,13863,10254
17578,17576,23204,13361
39,49,9266,26
9832,2492,13345,9043
21672,10924,21673,14653
9738,788,22630,832
1620,1855,1775,1795
10141,8851,13740,2095
2592,2660,11488,2534
14535,10113,21195,13710
20076,11724,20077,8659
18645,6384,19043,14212
9332,1092,16725,1167
15766,8239,23986,10237
6920,7010,10631,6988
960,909,10994,982
2473,2626,15521,2382
11510,89,13071,96
8465,3884,10766,4101
18975,14816,20728,15963
14022,9715,18380,13531
301,321,14160,372
21647,13543,25595,17800
11061,7289,14805,7214
14163,8952,22832,10507
22124,8166,24035,13675
9611,4966,13103,5063
14350,18804,23688,19965
5100,5114,14360,5255
